,recID,oldRef,newRef,metaData
22608701,1395627,1301484,1301484,"{'reference': {'label': '124', 'misc': ['MadAnalysis 5 implementation of CMS-SUS-13-011: search for stops in the single lepton final state at 8 TeV'], 'dois': ['10.7484/INSPIREHEP.DATA.LR5T.2RR3'], 'authors': [{'full_name': 'Dumont, B.'}, {'full_name': 'Fuks, B.'}, {'full_name': 'Wymant, C.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1301484'}, 'recid': 1301484}"
22839371,1332761,1325001,1325001,"{'reference': {'label': '6', 'urls': [{'value': 'http://doi.org/'}], 'title': {'title': 'MadAnalysis 5 implementation of ATLASSUSY-2013-05'}, 'dois': ['10.7484/INSPIREHEP.DATA.Z4ML.3W67.2'], 'authors': [{'full_name': 'Chalons, G.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1325001'}, 'recid': 1325001}"
22893419,1294778,1253646,1253646,"{'reference': {'label': '109', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'misc': ['HepData 38'], 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253646'}, 'recid': 1253646}"
22893420,1294778,1253647,1253647,"{'reference': {'label': '110', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'misc': ['HepData 188 38'], 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253647'}, 'recid': 1253647}"
22893421,1294778,1253648,1253648,"{'reference': {'label': '111', 'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'misc': ['HepData 38'], 'dois': ['10.7484/INSPIREHEP.DATA.26B4.TY5F']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253648'}, 'recid': 1253648}"
22907226,1306285,1305458,1305458,"{'reference': {'label': '43', 'title': {'title': 'MadAnalysis 5 implementation of CMS-SUS-13-012'}, 'dois': ['10.7484/INSPIREHEP.DATA.83GG.U5BW'], 'authors': [{'full_name': 'Bein, S.'}, {'full_name': 'Sengupta, D.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1305458'}, 'legacy_curated': True, 'recid': 1305458}"
22907228,1306285,1305194,1305194,"{'reference': {'label': '45', 'title': {'title': 'MadAnalysis 5 implementation of CMS-SUS-13-016'}, 'dois': ['10.7484/INSPIREHEP.DATA.ZC3J.646F'], 'authors': [{'full_name': 'Sengupta, D.'}, {'full_name': 'Kulkarni, S.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1305194'}, 'legacy_curated': True, 'recid': 1305194}"
22907234,1306285,1302493,1325001,"{'reference': {'label': '51', 'title': {'title': 'MadAnalysis 5 implementation of ATLAS-SUSY-2013-05'}, 'dois': ['10.7484/INSPIREHEP.DATA.Z4ML.3W67.2'], 'authors': [{'full_name': 'Chalons, G.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1302493'}, 'legacy_curated': True, 'recid': 1302493}"
22907243,1306285,1304590,1326686,"{'reference': {'label': '60', 'title': {'title': 'MadAnalysis 5 implementation of ATLAS-SUSY-2013-11: di-leptons plus MET'}, 'dois': ['10.7484/INSPIREHEP.DATA.HLMR.T56W.2'], 'authors': [{'full_name': 'Dumont, B.'}]}, 'curated_relation': True, 'record': {'$ref': 'http://localhost:5000/api/literature/1304590'}, 'legacy_curated': True, 'recid': 1304590}"
23048244,1326436,1258030,1258030,"{'reference': {'label': '68', 'misc': ['Harvard Dataverse Network'], 'dois': ['10.7910/DVN/22742'], 'authors': [{'full_name': 'AbdusSalam, S.'}, {'full_name': 'Allanach, B.'}, {'full_name': 'Quevedo, F.'}, {'full_name': 'Feroz, F.'}, {'full_name': 'Hobson, M.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1258030'}, 'recid': 1258030}"
23107413,1345039,0,1253646,"{'reference': {'label': '43', 'collaborations': ['ATLAS Collaboration'], 'misc': ['Data from figure 7 from: measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → γ γ.'], 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'legacy_curated': True}"
23107414,1345039,0,1253647,"{'reference': {'label': '44', 'collaborations': ['ATLAS Collaboration'], 'misc': ['Data from figure 7 from: measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → Z Z∗ → 4l'], 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}, 'legacy_curated': True}"
23107415,1345039,0,1253648,"{'reference': {'label': '45', 'collaborations': ['ATLAS Collaboration'], 'misc': ['Data from Figure 7 from: measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC: H → W W∗ → lνlν.'], 'dois': ['10.7484/INSPIREHEP.DATA.26B4.TY5F']}, 'legacy_curated': True}"
23285654,1334655,0,1391415,"{'reference': {'urls': [{'value': 'http://dx.doi.org/'}], 'misc': ['Brewer, triangle.py v0.1.1'], 'dois': ['10.5281/zenodo.11020'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}, {'full_name': 'Emily'}, {'full_name': 'Smith, M.'}, {'full_name': 'Barbary, K.'}, {'full_name': 'D.W. Hogg, B.J.'}]}}"
