,Citation_Difference
612955,-13.0
433931,-13.0
785992,-13.0
728118,-13.0
400377,-12.0
517862,-12.0
598737,-12.0
1237001,-12.0
154871,-12.0
1197177,-12.0
376250,-12.0
33278,-12.0
504101,-12.0
583855,-12.0
155441,-12.0
49999,-12.0
642275,-12.0
834264,-12.0
140126,-12.0
840317,-12.0
926712,-12.0
332523,-12.0
293193,-12.0
736770,-12.0
269098,-12.0
269571,-12.0
1185052,-12.0
285123,-12.0
572024,-12.0
709425,-12.0
321175,-12.0
854123,-12.0
888839,-12.0
842344,-12.0
762742,-12.0
569297,-12.0
362222,-12.0
850954,-12.0
725857,-12.0
369203,-12.0
1281027,-12.0
125593,-12.0
330904,-12.0
379986,-12.0
1645061,-12.0
213079,-12.0
823231,-12.0
638189,-12.0
601062,-12.0
259339,-12.0
838837,-12.0
920233,-11.0
432949,-11.0
492193,-11.0
216890,-11.0
891731,-11.0
896733,-11.0
1630826,-11.0
1124167,-11.0
28596,-11.0
160952,-11.0
1390228,-11.0
458125,-11.0
1614095,-11.0
624489,-11.0
267477,-11.0
304988,-11.0
307769,-11.0
761498,-11.0
688231,-11.0
720973,-11.0
511170,-11.0
839696,-11.0
1351297,-11.0
405129,-11.0
541870,-11.0
804308,-11.0
250639,-11.0
307484,-11.0
50175,-11.0
662402,-11.0
43934,-11.0
744403,-11.0
881644,-11.0
784230,-11.0
475258,-11.0
693956,-11.0
456849,-11.0
806979,-11.0
790880,-11.0
14181,-11.0
493268,-11.0
354521,-11.0
1650069,-11.0
316584,-11.0
173390,-11.0
623234,-11.0
1630788,-11.0
408530,-11.0
728159,-11.0
1307725,-11.0
76469,-11.0
743299,-11.0
427381,-11.0
891077,-11.0
768051,-10.0
521930,-10.0
325753,-10.0
570753,-10.0
682022,-10.0
571863,-10.0
1601346,-10.0
533078,-10.0
256205,-10.0
859282,-10.0
799171,-10.0
189059,-10.0
571260,-10.0
752473,-10.0
1620084,-10.0
1305020,-10.0
922699,-10.0
570843,-10.0
466853,-10.0
706152,-10.0
826611,-10.0
366413,-10.0
813333,-10.0
1435199,-10.0
320171,-10.0
1206301,-10.0
1435297,-10.0
142732,-10.0
316104,-10.0
680584,-10.0
891081,-10.0
628081,-10.0
891101,-10.0
432311,-10.0
661465,-10.0
1614057,-10.0
891103,-10.0
860632,-10.0
1435436,-10.0
271226,-10.0
891136,-10.0
688095,-10.0
891143,-10.0
1372579,-10.0
724185,-10.0
465804,-10.0
610993,-10.0
238200,-10.0
176492,-10.0
254493,-10.0
10088,-10.0
1630824,-10.0
709951,-10.0
1194718,-10.0
535662,-10.0
331954,-10.0
1188579,-10.0
386397,-10.0
146165,-10.0
475906,-10.0
634581,-10.0
878008,-10.0
564614,-10.0
945118,-10.0
186008,-10.0
866057,-10.0
711559,-10.0
257245,-10.0
1195560,-10.0
487284,-10.0
684460,-10.0
882509,-10.0
690538,-10.0
655482,-10.0
346368,-10.0
731416,-10.0
856277,-10.0
634572,-10.0
48323,-10.0
379140,-10.0
560048,-10.0
1364715,-9.0
515417,-9.0
560785,-9.0
751798,-9.0
891100,-9.0
1117604,-9.0
891121,-9.0
851956,-9.0
627366,-9.0
11881,-9.0
891112,-9.0
420294,-9.0
817908,-9.0
877992,-9.0
729206,-9.0
1308794,-9.0
426736,-9.0
891133,-9.0
1500564,-9.0
1093012,-9.0
1337443,-9.0
114430,-9.0
637902,-9.0
1225192,-9.0
132969,-9.0
708319,-9.0
790807,-9.0
1237647,-9.0
893987,-9.0
228069,-9.0
155978,-9.0
711548,-9.0
1338187,-9.0
1435251,-9.0
170477,-9.0
362223,-9.0
140128,-9.0
370777,-9.0
207309,-9.0
431357,-9.0
1432123,-9.0
276319,-9.0
1494650,-9.0
1226324,-9.0
1434131,-9.0
1237809,-9.0
747123,-9.0
1202805,-9.0
484484,-9.0
731041,-9.0
339911,-9.0
1090683,-9.0
1432967,-9.0
1269703,-9.0
654202,-9.0
658716,-9.0
421277,-9.0
290342,-9.0
1614069,-9.0
579185,-9.0
1125565,-9.0
345688,-9.0
626465,-9.0
913231,-9.0
122143,-9.0
240161,-9.0
913243,-9.0
721267,-9.0
34408,-9.0
567159,-9.0
422440,-9.0
841416,-9.0
345691,-9.0
220937,-9.0
515948,-9.0
780195,-9.0
761675,-9.0
465675,-9.0
674498,-9.0
807296,-9.0
1382216,-9.0
1433470,-9.0
138782,-9.0
286833,-9.0
788561,-9.0
1085087,-9.0
586566,-9.0
866024,-9.0
489597,-9.0
1357958,-9.0
727945,-8.0
801496,-8.0
414941,-8.0
819715,-8.0
620117,-8.0
922193,-8.0
127056,-8.0
650550,-8.0
336142,-8.0
103507,-8.0
913962,-8.0
709946,-8.0
780315,-8.0
428978,-8.0
344007,-8.0
344256,-8.0
534011,-8.0
1189846,-8.0
365526,-8.0
809338,-8.0
412710,-8.0
272420,-8.0
1196839,-8.0
405127,-8.0
842782,-8.0
783164,-8.0
463248,-8.0
256938,-8.0
100386,-8.0
588449,-8.0
783165,-8.0
660153,-8.0
852193,-8.0
741181,-8.0
256563,-8.0
875618,-8.0
684831,-8.0
1466481,-8.0
711544,-8.0
1253672,-8.0
809353,-8.0
1593707,-8.0
650623,-8.0
711557,-8.0
538797,-8.0
651104,-8.0
333322,-8.0
5736,-8.0
1188741,-8.0
45404,-8.0
1647070,-8.0
1202930,-8.0
1630790,-8.0
925896,-8.0
693423,-8.0
187936,-8.0
1431540,-8.0
1431912,-8.0
676869,-8.0
306190,-8.0
608627,-8.0
891078,-8.0
150061,-8.0
506974,-8.0
634579,-8.0
634578,-8.0
766049,-8.0
152822,-8.0
378253,-8.0
303063,-8.0
24219,-8.0
1389945,-8.0
505534,-8.0
431209,-8.0
845369,-8.0
295711,-8.0
768885,-8.0
304141,-8.0
199363,-8.0
574218,-8.0
206247,-8.0
1122638,-8.0
217439,-8.0
725543,-8.0
1455652,-8.0
511192,-8.0
1614097,-8.0
800263,-8.0
890320,-8.0
863054,-8.0
522352,-8.0
1431757,-8.0
1431441,-8.0
37844,-8.0
721280,-8.0
300156,-8.0
73259,-8.0
771660,-8.0
721287,-8.0
198200,-8.0
457841,-8.0
1433719,-8.0
380718,-8.0
721292,-8.0
1614087,-8.0
287655,-8.0
729771,-7.0
436077,-7.0
293251,-7.0
1095318,-7.0
1230312,-7.0
183759,-7.0
451345,-7.0
1493895,-7.0
333089,-7.0
1255703,-7.0
325071,-7.0
606289,-7.0
779193,-7.0
536671,-7.0
684054,-7.0
375296,-7.0
582124,-7.0
738556,-7.0
9141,-7.0
922633,-7.0
104035,-7.0
487560,-7.0
929667,-7.0
290384,-7.0
423891,-7.0
500914,-7.0
841914,-7.0
535104,-7.0
522440,-7.0
375198,-7.0
47911,-7.0
326423,-7.0
837402,-7.0
759379,-7.0
59826,-7.0
305196,-7.0
710180,-7.0
21988,-7.0
877999,-7.0
1088378,-7.0
338623,-7.0
854909,-7.0
810325,-7.0
700848,-7.0
345317,-7.0
667678,-7.0
756406,-7.0
1193779,-7.0
341286,-7.0
856031,-7.0
1431420,-7.0
117818,-7.0
26935,-7.0
1647476,-7.0
27023,-7.0
542347,-7.0
1193237,-7.0
1301484,-7.0
1192052,-7.0
508884,-7.0
773977,-7.0
1649620,-7.0
442677,-7.0
637524,-7.0
637519,-7.0
1384057,-7.0
669498,-7.0
110480,-7.0
1249858,-7.0
1365225,-7.0
673496,-7.0
351014,-7.0
121515,-7.0
720906,-7.0
206413,-7.0
1475884,-7.0
514568,-7.0
689481,-7.0
1196501,-7.0
583982,-7.0
350645,-7.0
582982,-7.0
5997,-7.0
867299,-7.0
513731,-7.0
207449,-7.0
634110,-7.0
346804,-7.0
655754,-7.0
417824,-7.0
179499,-7.0
170870,-7.0
786727,-7.0
1432233,-7.0
412574,-7.0
1641171,-7.0
490301,-7.0
873677,-7.0
232068,-7.0
130194,-7.0
596543,-7.0
531440,-7.0
130248,-7.0
320634,-7.0
492217,-7.0
801495,-7.0
13665,-7.0
45165,-7.0
93688,-7.0
91796,-7.0
647289,-7.0
791360,-7.0
665393,-7.0
434670,-7.0
1265695,-7.0
1204225,-7.0
1204526,-7.0
849749,-7.0
380719,-7.0
370186,-7.0
577237,-7.0
454761,-7.0
1422105,-7.0
524689,-7.0
280937,-7.0
556080,-7.0
14236,-7.0
1204746,-7.0
152690,-7.0
873524,-7.0
493166,-7.0
12562,-7.0
39457,-7.0
495649,-7.0
1234359,-7.0
728348,-7.0
