,Citation_Difference
47853,22.0
642192,22.0
194861,22.0
442662,22.0
130204,22.0
332742,22.0
155192,22.0
530422,22.0
46657,22.0
63532,22.0
190190,22.0
556770,22.0
1262678,22.0
572378,22.0
90991,22.0
889010,22.0
928153,22.0
585723,22.0
728384,22.0
233326,22.0
276374,22.0
925294,22.0
1504036,22.0
155967,22.0
826654,22.0
107910,22.0
176420,22.0
167760,22.0
538645,22.0
432394,22.0
787162,21.0
655596,21.0
1398539,21.0
786236,21.0
363605,21.0
165176,21.0
627749,21.0
129397,21.0
428832,21.0
85588,21.0
167893,21.0
50073,21.0
1123768,21.0
678458,21.0
661031,21.0
1082681,21.0
537687,21.0
50049,21.0
12292,21.0
793126,21.0
919742,21.0
118354,21.0
444161,21.0
1088231,21.0
374574,21.0
35242,21.0
415636,21.0
661593,21.0
298608,21.0
1439970,21.0
602346,21.0
534542,21.0
169588,21.0
21120,21.0
123995,21.0
53083,21.0
8589,21.0
658434,21.0
780833,21.0
382444,21.0
403159,21.0
422113,21.0
601228,21.0
144825,21.0
243942,20.0
824251,20.0
295260,20.0
418859,20.0
884352,20.0
1260598,20.0
614443,20.0
687529,20.0
207866,20.0
517329,20.0
603083,20.0
15684,20.0
47055,20.0
861169,20.0
503954,20.0
642229,20.0
710962,20.0
42946,20.0
526097,20.0
1343791,20.0
403138,20.0
537159,20.0
372442,20.0
813721,20.0
895584,20.0
276582,20.0
863729,20.0
441321,20.0
831022,20.0
89987,20.0
108701,20.0
729219,20.0
898616,20.0
423414,20.0
268735,20.0
622515,20.0
844182,20.0
144074,20.0
377739,20.0
1091094,20.0
218044,20.0
199868,20.0
712271,20.0
235626,20.0
468052,20.0
322151,20.0
501980,20.0
855212,20.0
199221,20.0
492280,20.0
319550,19.0
455710,19.0
444556,19.0
524842,19.0
803321,19.0
321857,19.0
108070,19.0
416158,19.0
435899,19.0
859240,19.0
1090139,19.0
472465,19.0
883796,19.0
177826,19.0
523782,19.0
73449,19.0
496670,19.0
502321,19.0
62015,19.0
526981,19.0
34817,19.0
662029,19.0
509396,19.0
342335,19.0
146657,19.0
817857,19.0
27714,19.0
1237915,19.0
560129,19.0
234889,19.0
447337,19.0
392516,19.0
360437,19.0
646921,19.0
61258,19.0
649921,19.0
401723,19.0
691576,19.0
392938,19.0
51165,19.0
416721,19.0
742696,19.0
925179,19.0
68510,19.0
62977,19.0
220517,19.0
118798,19.0
768965,19.0
36781,19.0
1390077,19.0
523430,19.0
613133,19.0
352593,19.0
486374,19.0
614918,19.0
807413,19.0
431638,19.0
413235,19.0
682671,19.0
99064,18.0
605655,18.0
61186,18.0
218667,18.0
848784,18.0
848716,18.0
749835,18.0
812386,18.0
861364,18.0
1631706,18.0
378751,18.0
633877,18.0
1334493,18.0
785578,18.0
613400,18.0
796244,18.0
1338045,18.0
715946,18.0
790279,18.0
51188,18.0
568223,18.0
722174,18.0
945597,18.0
81350,18.0
1217677,18.0
688227,18.0
846542,18.0
882996,18.0
509090,18.0
684166,18.0
709135,18.0
542631,18.0
629350,18.0
913987,18.0
566750,18.0
622845,18.0
55215,18.0
551744,18.0
646161,18.0
652969,18.0
342625,18.0
301930,18.0
593555,18.0
897175,18.0
780942,18.0
53071,18.0
394074,18.0
582193,17.0
537385,17.0
787172,17.0
415766,17.0
1115303,17.0
644316,17.0
168975,17.0
282847,17.0
262852,17.0
18756,17.0
261302,17.0
1206610,17.0
1462572,17.0
1624581,17.0
525724,17.0
732677,17.0
708336,17.0
814088,17.0
533869,17.0
124159,17.0
357830,17.0
504962,17.0
753748,17.0
1191934,17.0
807147,17.0
763755,17.0
1386232,17.0
554243,17.0
447100,17.0
624852,17.0
15489,17.0
711939,17.0
190520,17.0
154264,17.0
527548,17.0
678027,17.0
407703,17.0
1105125,17.0
1474919,17.0
890866,17.0
424200,17.0
798935,17.0
525406,17.0
190847,17.0
633702,17.0
708712,17.0
374352,17.0
418319,17.0
619397,17.0
698846,17.0
631591,17.0
758428,17.0
661961,17.0
776561,17.0
81846,17.0
425547,17.0
22979,17.0
108516,17.0
446458,17.0
787193,17.0
47905,17.0
375582,17.0
1389705,17.0
419298,17.0
763330,17.0
646220,17.0
540377,17.0
73661,17.0
279185,17.0
843193,17.0
288141,17.0
523236,17.0
486496,17.0
698465,17.0
475099,17.0
598985,17.0
164832,17.0
648223,17.0
821641,17.0
644288,17.0
335505,17.0
754797,17.0
723637,17.0
806987,16.0
439877,16.0
1121376,16.0
319103,16.0
119979,16.0
1411191,16.0
100150,16.0
425495,16.0
526688,16.0
651090,16.0
188975,16.0
868303,16.0
271612,16.0
1123760,16.0
1104,16.0
31475,16.0
206871,16.0
859853,16.0
3540,16.0
1461197,16.0
782806,16.0
51319,16.0
200865,16.0
732605,16.0
651654,16.0
501443,16.0
529977,16.0
302364,16.0
736752,16.0
1094112,16.0
1260674,16.0
604320,16.0
624913,16.0
452507,16.0
54540,16.0
245163,16.0
372863,16.0
14760,16.0
925312,16.0
855299,16.0
375788,16.0
393084,16.0
455857,16.0
452222,16.0
873327,16.0
633967,16.0
891739,16.0
374783,16.0
445565,16.0
116034,16.0
875254,16.0
499380,16.0
765360,16.0
900212,16.0
809337,16.0
1224273,16.0
824130,16.0
393382,16.0
726169,16.0
37966,16.0
452333,16.0
562633,16.0
399778,16.0
686585,16.0
1228997,16.0
832063,16.0
177101,16.0
397649,16.0
37258,16.0
846428,16.0
4510,16.0
428544,16.0
683824,16.0
1230214,16.0
107779,16.0
361118,16.0
1514709,16.0
233278,16.0
766842,16.0
663128,16.0
624561,16.0
73163,16.0
804441,16.0
6487,16.0
393099,15.0
276358,15.0
1239296,15.0
616395,15.0
191754,15.0
604286,15.0
212284,15.0
650986,15.0
1475080,15.0
826670,15.0
826549,15.0
339903,15.0
6779,15.0
633546,15.0
605864,15.0
534827,15.0
1286113,15.0
534776,15.0
6705,15.0
882364,15.0
409462,15.0
882360,15.0
146994,15.0
765338,15.0
417422,15.0
67640,15.0
1207757,15.0
260771,15.0
95654,15.0
445632,15.0
496750,15.0
555481,15.0
687044,15.0
320636,15.0
761137,15.0
782784,15.0
793198,15.0
647861,15.0
812754,15.0
68226,15.0
1082926,15.0
601506,15.0
1336200,15.0
374870,15.0
756271,15.0
1120934,15.0
620677,15.0
474106,15.0
294064,15.0
129289,15.0
333337,15.0
530872,15.0
577170,15.0
7123,15.0
682567,15.0
694047,15.0
428434,15.0
503019,15.0
1343538,15.0
534047,15.0
