,recID,oldRef,newRef,metaData
649007,217460,217460,217460,"{'record': {'$ref': 'http://localhost:5000/api/literature/217460'}, 'reference': {'report_numbers': ['FERMILAB-Pub-85-112-T']}, 'recid': 217460, 'curated_relation': False}"
671871,247192,247192,247192,"{'record': {'$ref': 'http://localhost:5000/api/literature/247192'}, 'reference': {'publication_info': {'year': 1986}, 'misc': ['The Completed Design’of the SLC Final Focus System -Report-4219, February 1987. Presented at the Particle Accelerator Conference, Washington, DC, March 1987. 14 July 1987 (N) ERRATUM A CONCEPTUAL DESIGN OF FINAL FOCUS SYSTEMS FOR LINEAR COLLIDER* KARL L. BROWN Stanford Linear Accelerator Center Stanford &4&erstTy, Stanford, Calijorraia, 94305 This manuscript was submitted to two different Conferences: Invited talk presented at the Joint US-CERN School on Particle Accelerators: Topical Course on Frontiers on Particle Beams, South Padre, Texas, October 23-29,and also Talk presented at the BB Factory Workshop, Los Angeles, California, January 26-30, 1987 * Work supported by the Department of Energy, contract D E - A C 0 3 - 76 SF 0 0 5 15'], 'imprint': {'publisher': 'SLAC'}, 'report_numbers': ['SLAC-PUB-4159'], 'authors': [{'full_name': 'Murray, J.J.'}, {'full_name': 'Brown, K.L.'}, {'full_name': 'Fieguth, T.'}], 'label': '5'}, 'recid': 247192, 'curated_relation': False}"
708963,69584,69584,69584,"{'record': {'$ref': 'http://localhost:5000/api/literature/69584'}, 'reference': {'publication_info': {'page_start': '958', 'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '27', 'artid': '958'}}, 'recid': 69584, 'curated_relation': False}"
718095,725672,725672,725672,"{'record': {'$ref': 'http://localhost:5000/api/literature/725672'}, 'reference': {'arxiv_eprint': 'hep-th/0609059', 'publication_info': {'page_start': '34', 'journal_title': 'Nucl.Phys.B', 'journal_volume': '766', 'artid': '34'}}, 'recid': 725672, 'curated_relation': False}"
741628,721535,721535,721535,"{'record': {'$ref': 'http://localhost:5000/api/literature/721535'}, 'reference': {'arxiv_eprint': 'hep-ph/0608023', 'publication_info': {'page_start': '2', 'journal_title': 'Nucl.Phys.B Proc.Suppl.', 'journal_volume': '157', 'artid': '2'}}, 'recid': 721535, 'curated_relation': False}"
791005,360193,360193,360193,"{'record': {'$ref': 'http://localhost:5000/api/literature/360193'}, 'reference': {'arxiv_eprint': 'hep-ph/9311294', 'publication_info': {'page_start': '459', 'journal_title': 'Phys.Lett.B', 'journal_volume': '325', 'artid': '459'}}, 'recid': 360193, 'curated_relation': False}"
808527,89298,89298,89298,"{'record': {'$ref': 'http://localhost:5000/api/literature/89298'}, 'reference': {'publication_info': {'page_start': '842', 'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '34', 'artid': '842'}}, 'recid': 89298, 'curated_relation': False}"
821075,723213,723213,723213,"{'record': {'$ref': 'http://localhost:5000/api/literature/723213'}, 'reference': {'publication_info': {'journal_title': 'Phys.Rev.ST Accel.Beams', 'year': 2006, 'journal_volume': '9', 'artid': '051001'}, 'misc': ['in SPIN 2002: 15th International UNEXPECTED ENHANCEMENTS AND REDUCTIONS OF 051001-7 Spin Physics Symposium and Workshop on Polarized Electron Sources and Polarimeters (Ref. [4]), p. 776'], 'label': '20', 'authors': [{'full_name': 'Morozov, V.S.'}]}, 'recid': 723213, 'curated_relation': False}"
821118,723213,723213,723213,"{'record': {'$ref': 'http://localhost:5000/api/literature/723213'}, 'reference': {'publication_info': {'journal_title': 'Phys.Rev.ST Accel.Beams', 'year': 2006, 'journal_volume': '9', 'artid': '051001'}, 'misc': ['051001-8'], 'label': '45', 'authors': [{'full_name': 'Leonova, M.A.'}]}, 'recid': 723213, 'curated_relation': False}"
823767,726777,726777,726777,"{'record': {'$ref': 'http://localhost:5000/api/literature/726777'}, 'reference': {'arxiv_eprint': 'hep-ph/0609239', 'publication_info': {'page_start': '74', 'journal_title': 'Phys.Lett.B', 'journal_volume': '651', 'artid': '74'}}, 'recid': 726777, 'curated_relation': False}"
824836,727504,727504,727504,"{'record': {'$ref': 'http://localhost:5000/api/literature/727504'}, 'reference': {'authors': [{'full_name': 'Guiducci, S.'}, {'full_name': 'Bressi, E.'}], 'publication_info': {'journal_title': 'Phys.Rev.ST Accel.Beams', 'year': 2006, 'journal_volume': '9', 'artid': '094402'}, 'misc': ['in Abstracts of POSIPOL, CERN, Switzerland 64&confId=845. LUCIANO FALBO et al 094402-10'], 'label': '22', 'urls': [{'value': 'http://indico.cern.ch/contributionDisplay.py?contribId=31&sessionId='}]}, 'recid': 727504, 'curated_relation': False}"
